,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8
0,Action,Adventure,ScienceFiction,,,,,
1,Action,Comedy,Crime,Thriller,,,,
2,Adventure,Family,Fantasy,,,,,
3,Action,Adventure,Fantasy,ScienceFiction,,,,
4,Action,Adventure,Fantasy,,,,,
5,Action,Fantasy,ScienceFiction,,,,,
6,Action,Crime,Drama,Thriller,,,,
7,Horror,Thriller,,,,,,
8,Action,Drama,History,,,,,
9,Action,Comedy,Crime,,,,,
10,Animation,Drama,Fantasy,,,,,
11,Comedy,Mystery,Thriller,,,,,
12,Adventure,Animation,Family,ScienceFiction,,,,
13,Action,Crime,Thriller,,,,,
14,Adventure,Animation,Comedy,,,,,
15,Action,Adventure,ScienceFiction,,,,,
16,Action,Crime,,,,,,
17,Crime,Thriller,,,,,,
18,Thriller,,,,,,,
19,Action,Comedy,Crime,Fantasy,,,,
20,Adventure,Animation,Comedy,Family,Fantasy,,,
21,Adventure,Animation,Family,,,,,
22,Horror,Mystery,Thriller,,,,,
23,Action,Drama,History,,,,,
24,Action,Adventure,Animation,Fantasy,,,,
25,Documentary,,,,,,,
26,Comedy,Family,Fantasy,,,,,
27,Action,Horror,Thriller,,,,,
28,Action,Crime,Thriller,,,,,
29,Animation,Comedy,Family,Fantasy,,,,
30,Action,Comedy,Thriller,,,,,
31,Action,Crime,Thriller,,,,,
32,Crime,Thriller,,,,,,
33,Documentary,TVMovie,,,,,,
34,Thriller,,,,,,,
35,Action,Drama,War,,,,,
36,Documentary,,,,,,,
37,Horror,Mystery,Thriller,,,,,
38,Action,Adventure,Thriller,,,,,
39,Horror,Thriller,,,,,,
40,Horror,Mystery,Thriller,,,,,
41,Action,Drama,History,Thriller,,,,
42,Action,Drama,,,,,,
43,Action,Comedy,Crime,,,,,
44,ScienceFiction,,,,,,,
45,Comedy,Family,Music,,,,,
46,Adventure,Family,Fantasy,,,,,
47,Action,Fantasy,ScienceFiction,,,,,
48,Comedy,,,,,,,
49,empty,,,,,,,
50,Adventure,Comedy,ScienceFiction,,,,,
51,Horror,Mystery,Thriller,,,,,
52,Action,Adventure,ScienceFiction,,,,,
53,Action,Crime,Thriller,,,,,
54,Action,Drama,War,,,,,
55,Animation,Comedy,Family,,,,,
56,Animation,Drama,Family,Fantasy,,,,
57,Romance,,,,,,,
58,Horror,Thriller,,,,,,
59,Horror,ScienceFiction,Thriller,,,,,
60,Action,Adventure,ScienceFiction,,,,,
61,Action,Comedy,Fantasy,,,,,
62,Action,Horror,,,,,,
63,Action,Fantasy,,,,,,
64,Action,Drama,Thriller,,,,,
65,Drama,Romance,,,,,,
66,Action,ScienceFiction,Thriller,,,,,
67,Action,Animation,ScienceFiction,,,,,
68,Crime,Drama,Thriller,,,,,
69,Horror,Mystery,,,,,,
70,Action,Comedy,Thriller,,,,,
71,Action,ScienceFiction,,,,,,
72,Music,,,,,,,
73,Adventure,Horror,Thriller,,,,,
74,Adventure,Drama,Family,Fantasy,,,,
75,Thriller,,,,,,,
76,Action,Adventure,Comedy,Family,,,,
77,Action,Adventure,Animation,Comedy,Family,,,
78,Adventure,Animation,Comedy,Family,Fantasy,,,
79,Adventure,Animation,Family,Music,,,,
80,Animation,Comedy,Family,,,,,
81,Adventure,Animation,Comedy,Family,,,,
82,Action,Comedy,Horror,,,,,
83,Adventure,Comedy,Crime,Mystery,,,,
84,Action,Adventure,Animation,Fantasy,,,,
85,Comedy,Family,Fantasy,,,,,
86,Drama,Horror,Romance,,,,,
87,Comedy,Drama,,,,,,
88,Action,Adventure,Fantasy,,,,,
89,Action,Adventure,Fantasy,,,,,
90,Animation,Comedy,Family,,,,,
91,Horror,Thriller,,,,,,
92,Crime,Mystery,Thriller,,,,,
93,Horror,Thriller,,,,,,
94,Action,Drama,ScienceFiction,,,,,
95,Drama,Horror,Thriller,,,,,
96,Mystery,Thriller,,,,,,
97,Action,Drama,Thriller,,,,,
98,Horror,Thriller,,,,,,
99,Documentary,,,,,,,
100,Action,Animation,Fantasy,,,,,
101,Adventure,Animation,Comedy,Fantasy,,,,
102,Drama,Romance,,,,,,
103,Animation,Comedy,Family,Fantasy,,,,
104,Horror,ScienceFiction,,,,,,
105,Comedy,Drama,,,,,,
106,Fantasy,Mystery,Thriller,,,,,
107,Animation,Comedy,Family,Fantasy,,,,
108,Drama,Romance,,,,,,
109,Comedy,Romance,,,,,,
110,Crime,Mystery,Thriller,,,,,
111,Animation,Comedy,Family,Fantasy,,,,
112,Horror,ScienceFiction,,,,,,
113,Animation,Family,,,,,,
114,Action,Adventure,Family,ScienceFiction,,,,
115,Action,Drama,Fantasy,,,,,
116,Crime,Horror,Thriller,,,,,
117,Action,Animation,Comedy,Family,ScienceFiction,,,
118,Documentary,,,,,,,
119,Action,Adventure,Fantasy,,,,,
120,Comedy,Family,Fantasy,,,,,
121,Action,Crime,Thriller,,,,,
122,Comedy,Crime,Mystery,,,,,
123,Action,Drama,History,War,,,,
124,Horror,Thriller,,,,,,
125,Action,Adventure,Fantasy,,,,,
126,Horror,Thriller,,,,,,
127,Animation,Comedy,Romance,,,,,
128,Adventure,Fantasy,,,,,,
129,Horror,Mystery,Thriller,,,,,
130,Drama,,,,,,,
131,Thriller,,,,,,,
132,Adventure,Animation,Comedy,Family,Fantasy,,,
133,Action,Adventure,Crime,Mystery,Thriller,,,
134,Comedy,Family,Fantasy,,,,,
135,Horror,Mystery,Thriller,,,,,
136,Animation,Comedy,,,,,,
137,Comedy,,,,,,,
138,Horror,Thriller,,,,,,
139,Comedy,Romance,,,,,,
140,Action,Adventure,Animation,ScienceFiction,,,,
141,Comedy,,,,,,,
142,Drama,,,,,,,
143,Horror,Thriller,,,,,,
144,Action,Fantasy,ScienceFiction,,,,,
145,Horror,,,,,,,
146,Horror,Thriller,,,,,,
147,Action,Crime,Thriller,,,,,
148,Adventure,Animation,Comedy,,,,,
149,Crime,Drama,,,,,,
150,Adventure,Fantasy,,,,,,
151,Animation,Fantasy,,,,,,
152,Drama,Mystery,Thriller,,,,,
153,Drama,Romance,,,,,,
154,Adventure,Fantasy,,,,,,
155,Adventure,Animation,ScienceFiction,,,,,
156,Action,Adventure,ScienceFiction,,,,,
157,Horror,,,,,,,
158,Adventure,Family,Fantasy,,,,,
159,Action,Thriller,,,,,,
160,Comedy,Drama,Family,,,,,
161,Action,Fantasy,ScienceFiction,,,,,
162,Comedy,,,,,,,
163,Action,Drama,Thriller,,,,,
164,Adventure,Comedy,Family,,,,,
165,Action,Adventure,Fantasy,,,,,
166,Action,Adventure,ScienceFiction,,,,,
167,Action,Drama,Fantasy,,,,,
168,Crime,Drama,,,,,,
169,Adventure,Animation,Comedy,Family,Fantasy,Horror,,
170,Horror,,,,,,,
171,Drama,Romance,,,,,,
172,Fantasy,Horror,Thriller,,,,,
173,Horror,Mystery,Thriller,,,,,
174,Animation,Comedy,,,,,,
175,Thriller,,,,,,,
176,Action,Adventure,,,,,,
177,Action,Adventure,Comedy,,,,,
178,Adventure,Fantasy,Mystery,,,,,
179,Drama,Thriller,,,,,,
180,Adventure,Fantasy,,,,,,
181,Action,Adventure,Animation,Family,ScienceFiction,,,
182,Comedy,Horror,Thriller,,,,,
183,Drama,,,,,,,
184,Action,Adventure,Comedy,Crime,,,,
185,Action,Drama,,,,,,
186,Action,Drama,ScienceFiction,,,,,
187,Animation,Drama,Family,Fantasy,Mystery,,,
188,Crime,Thriller,,,,,,
189,Action,Crime,Thriller,,,,,
190,Action,Adventure,Fantasy,,,,,
191,Adventure,Animation,Comedy,Family,Fantasy,,,
192,Adventure,Fantasy,,,,,,
193,Adventure,Fantasy,,,,,,
194,Adventure,Animation,Comedy,Family,,,,
195,Animation,Comedy,Romance,,,,,
196,Comedy,,,,,,,
197,Horror,,,,,,,
198,Fantasy,Horror,Thriller,,,,,
199,Action,Adventure,ScienceFiction,,,,,
200,Horror,,,,,,,
201,Drama,Romance,,,,,,
202,Action,Adventure,ScienceFiction,,,,,
203,Comedy,,,,,,,
204,Horror,,,,,,,
205,Action,Horror,ScienceFiction,Thriller,,,,
206,Adventure,Animation,Comedy,Family,Fantasy,,,
207,Action,Adventure,Drama,Fantasy,,,,
208,Horror,Mystery,ScienceFiction,Thriller,,,,
209,Comedy,Crime,,,,,,
210,Comedy,Fantasy,,,,,,
211,Drama,Romance,,,,,,
212,Animation,Comedy,,,,,,
213,ScienceFiction,,,,,,,
214,Documentary,Music,,,,,,
215,Crime,Drama,Mystery,Thriller,,,,
216,Action,Adventure,Fantasy,,,,,
217,Comedy,Fantasy,,,,,,
218,Action,Adventure,ScienceFiction,,,,,
219,Animation,Comedy,Family,Fantasy,Horror,,,
220,Documentary,,,,,,,
221,Action,Animation,Fantasy,,,,,
222,Action,Adventure,ScienceFiction,,,,,
223,Adventure,Animation,Fantasy,,,,,
224,Adventure,Comedy,Family,Fantasy,Music,TVMovie,,
225,Action,Drama,,,,,,
226,Adventure,Drama,ScienceFiction,,,,,
227,Adventure,Animation,Comedy,Family,Fantasy,,,
