,Unnamed: 0,budget,homepage,id,imdb_id,revenue,runtime,language,description,popularity,title,rating,votes,year,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8
0,0,460000000,https://www.avatar.com/movies/avatar-the-way-of-water,76600,tt1630029,1028775785,192,en,"set decade events first film, learn story sully family  jake, neytiri, kids , trouble follows them, lengths go keep safe, battles fight stay alive, tragedies endure ",7517.281,Avatar: The Way of Water,7.8,2512,2022,Action,Adventure,ScienceFiction,,,,,
1,1,20000000,https://www.violentnightmovie.com,899112,tt12003946,55173750,112,en,"team mercenaries breaks wealthy family compound christmas eve, taking everyone inside hostage, team isn’t prepared surprise combatant  santa claus grounds, he’s show nick saint ",5355.272,Violent Night,7.7,590,2022,Action,Comedy,Crime,Thriller,,,,
3,3,237000000,https://www.avatar.com/movies/avatar,19995,tt0499549,2920357254,162,en,"22nd century, paraplegic marine dispatched moon pandora unique mission, becomes torn following orders protecting alien civilization ",3277.907,Avatar,7.6,27323,2009,Action,Adventure,Fantasy,ScienceFiction,,,,
4,4,0,https://www.netflix.com/title/81245455/,736526,tt11116912,0,104,no,"deep inside mountain dovre, something gigantic awakens trapped thousand years  destroying everything path, creature fast approaching capital norway  stop something thought existed norwegian folklore ",3196.809,Troll,6.7,855,2022,Action,Adventure,Fantasy,,,,,
5,5,200000000,https://www.dc.com/BlackAdam,436270,tt6443346,389000000,125,en,"nearly 5,000 years bestowed almighty powers egyptian gods and imprisoned quickly black adam freed earthly tomb, ready unleash unique form justice modern world ",3158.563,Black Adam,7.2,3353,2022,Action,Fantasy,ScienceFiction,,,,,
6,6,0,https://theavenue.film/movies/savage-salvation,740952,tt13055982,0,101,en,"newly engaged shelby john ruby red want fresh start struggles addiction, shelby discovers beloved ruby dead porch, embarks vengeful killing spree dealers supplied her  armed nothing adrenaline nail gun, shelby begins unleash chaos town’s criminal underbelly, hunt’s crime lord coyote  sheriff church must race clock put end shelby's vigilante justice entire town descends bloodbath ",2252.41,Savage Salvation,5.3,12,2022,Action,Crime,Drama,Thriller,,,,
7,7,0,https://www.preyforthedevil.movie/,676547,tt9271672,37655699,93,en,"response global rise demonic possessions, catholic church reopens exorcism schools train priests rite exorcism  spiritual battlefield, unlikely warrior rises  young nun, sister ann  thrust onto spiritual frontline fellow student father dante, sister ann finds battle soul young girl soon realizes devil right wants her ",2190.57,Prey for the Devil,7.0,231,2022,Horror,Thriller,,,,,,
9,9,0,https://www.netflix.com/title/81344253,683328,tt15528292,0,141,id,by the book female detective teams four down on their luck assassins investigate father's murder ,2011.834,The Big 4,6.8,54,2022,Action,Comedy,Crime,,,,,
11,11,40000000,https://glassonionmovie.com,661374,tt11564570,13280000,140,en,world famous detective benoit blanc heads greece peel back layers mystery surrounding tech billionaire eclectic crew friends ,1770.546,Glass Onion: A Knives Out Mystery,7.0,1368,2022,Comedy,Mystery,Thriller,,,,,
13,13,0,https://www.netflix.com/title/81458368,873126,tt15229674,0,90,it,"old enemies kill family, former mafia enforcer feisty daughter flee milan, hide plotting revenge ",1602.532,My Name Is Vendetta,6.7,246,2022,Action,Crime,Thriller,,,,,
15,15,250000000,https://wakandaforevertickets.com,505642,tt9114286,801755401,162,en,"queen ramonda, shuri, m’baku, okoye dora milaje fight protect nation intervening world powers wake king t’challa’s death  wakandans strive embrace next chapter, heroes must band together help war dog nakia everett ross forge new path kingdom wakanda ",1438.632,Black Panther: Wakanda Forever,7.5,1496,2022,Action,Adventure,ScienceFiction,,,,,
16,16,0,https://www.lionsgate.com/movies/detective-knight-rogue,1024546,tt21435436,0,105,en,"los angeles prepares halloween, mask wearing armed robbers critically wound detective james knight’s partner shootout following heist  knight hot pursuit, bandits flee l a  new york, detective’s dark past collides present case threatens tear world apart…unless redemption claim knight first ",1396.52,Detective Knight: Rogue,6.3,28,2022,Action,Crime,,,,,,
17,17,0,,1049233,tt23343786,0,101,pl,"teacher dies, best friend   former cop   takes job school worked confront gang thinks responsible ",1392.965,Lesson Plan,6.3,77,2022,Crime,Thriller,,,,,,
18,18,0,,878183,tt3416670,0,108,en,"final weeks consequential presidential election history  america poised elect either first female president first viable independent candidate  reporting history made, idealistic young journalist teams idol, legendary journalist nick booker, uncover conspiracy places fate election, country, hands ",1381.326,The Independent,7.2,42,2022,Thriller,,,,,,,
19,19,130,,1013860,tt21094994,78324220,102,en,"sheriff roy pulsipher finds afterlife, joins special police force returns earth save humanity undead ",1316.857,R.I.P.D. 2: Rise of the Damned,6.7,288,2022,Action,Comedy,Crime,Fantasy,,,,
22,22,0,,811656,tt4624366,138450,89,en,"laura, traumatized abusive relationship, runs away former husband seven year old son cody  new, idyllic remote sanctuary, find another, bigger terrifying monster deal with…",1136.485,Monstrous,6.3,141,2022,Horror,Mystery,Thriller,,,,,
27,27,0,,988233,tt6969338,0,88,en,"following mysterious disappearance jump, group skydivers experiences paranormal occurrences leave fighting lives ",945.858,Hex,5.8,20,2022,Action,Horror,Thriller,,,,,
28,28,0,,972313,tt1551614,0,93,en,"master thief sabotaged bank heist left dead, seeks revenge former crew one target time  now, cops mob closing in, he's race life reclaim untold fortune cryptocurrency double crossed him ",939.784,Blowback,6.2,33,2022,Action,Crime,Thriller,,,,,
30,30,0,https://pegasus.is/portfolio-posts/cop-secret,792775,tt13882736,0,100,is,"bússi, iceland's toughest cop, forced work new partner solve series bank robberies, pressure close case soon possible proves much him ",887.135,Cop Secret,6.1,48,2022,Action,Comedy,Thriller,,,,,
31,31,0,http://www.23ten.com/one-way,747803,tt13075730,0,96,en,"run bag full cash robbing former crime boss and potentially fatal wound freddy slips onto bus headed unrelenting california desert  life slipping fingers, freddy left choices survive ",847.701,One Way,6.8,55,2022,Action,Crime,Thriller,,,,,
32,32,0,,934641,tt11833408,0,90,en,"stockbroker small southern town gets embroiled insurance scam next door neighbor leads multiple murders host people want plot  sheriff thurmond fowler, by the book town sheriff four decades, works earnestly try unravel town’s mystery winds getting bargained for ",839.767,The Minute You Wake Up Dead,5.7,31,2022,Crime,Thriller,,,,,,
34,34,3000000,https://www.lionsgate.com/movies/fall,985939,tt15325794,16120263,107,en,"best friends becky hunter, life conquering fears pushing limits  climb 2,000 feet top remote, abandoned radio tower, find stranded way down  becky hunter’s expert climbing skills put ultimate test desperately fight survive elements, lack supplies, vertigo inducing heights",835.135,Fall,7.3,2056,2022,Thriller,,,,,,,
35,35,1000000,,966220,tt19465630,0,120,uk,"mykola eccentric pacifist wants useful humanity  war begins donbass, mykola’s naive world collapsing militants kill pregnant wife burn home ground  recovered, makes cardinal decision gets enlisted sniper company  met wife’s killers, emotionally breaks arranges  sniper terror  enemy  he’s saved senseless death instructor gets mortally wounded  death friend leaves  scar  mykola ready sacrifice life ",831.765,Sniper: The White Raven,7.6,178,2022,Action,Drama,War,,,,,
37,37,0,,880841,tt2980152,0,102,en,"young couple moves remote farmhouse infant son, woman's struggles postpartum psychosis begin intensify    house reveals secrets own ",813.875,Abandoned,6.6,117,2022,Horror,Mystery,Thriller,,,,,
38,38,0,,855440,tt15327556,0,76,es,"mg, policewoman expelled corps due problems alcohol drugs since loss son, receives call man asking look macarena gómez, popular tv actress ",784.816,Polar,6.8,17,2022,Action,Adventure,Thriller,,,,,
39,39,250000,http://www.terrifier2themovie.com/,663712,tt10403420,11500000,138,en,"resurrected sinister entity, art clown returns miles county must hunt destroy teenage girl younger brother halloween night  body count rises, siblings fight stay alive uncovering true nature art's evil intent ",773.377,Terrifier 2,7.0,800,2022,Horror,Thriller,,,,,,
40,40,17000000,https://www.smile.movie/,882598,tt15474916,216000000,115,en,"witnessing bizarre, traumatic incident involving patient, dr  rose cotter starts experiencing frightening occurrences can't explain  overwhelming terror begins taking life, rose must confront troubling past order survive escape horrifying new reality ",753.261,Smile,6.8,1298,2022,Horror,Mystery,Thriller,,,,,
42,42,170000000,https://www.topgunmovie.com,361743,tt1745960,1488000000,131,en,"thirty years service one navy’s top aviators, dodging advancement rank would ground him, pete  maverick  mitchell finds training detachment top gun graduates specialized mission likes living pilot ever seen ",706.417,Top Gun: Maverick,8.3,5266,2022,Action,Drama,,,,,,
43,43,0,,1015963,tt15721088,0,84,en,"local mafia shows burn restaurant, ana, chef meticulous past, defends turf proves knife skills kitchen ",637.594,High Heat,5.6,12,2022,Action,Comedy,Crime,,,,,
44,44,0,,575322,tt5656994,0,98,en,"depleting earth's resources centuries, humankind's survival requires exodus outer space  international expedition quickly formed find suitable new planet, plans go awry, crew suddenly stranded without power strange planet, something unimaginable lies wait ",631.928,Project Gemini,5.6,189,2022,ScienceFiction,,,,,,,
47,47,0,https://www.greenappleent.com/project/alien-sniperess/,941520,tt14668358,0,94,en,female sniper military leave promises fulfill fiancé’s dying wish encounters hostile alien invasion tasked saving countless lives ,548.948,Alien Sniperess,4.2,12,2022,Action,Fantasy,ScienceFiction,,,,,
48,48,0,,1053419,tt23808016,0,99,es,"curse placed grinchy chuy, wakes find he's lived full year, doomed remember christmas day  every year  on ",548.062,A Not So Merry Christmas,6.8,85,2022,Comedy,,,,,,,
49,49,0,,772446,tt11309740,0,0,es,"fausto esther childhood tormented  fausto, trying escape father  esther, mistreated brother in law  begin involved supernatural situation  control ",540.943,No Abras La Puerta,6.7,18,2022,empty,,,,,,,
50,50,0,https://www.disneyplus.com/movies/the-guardians-of-the-galaxy-holiday-special/5HUc4iuAVplq,774752,tt13623136,0,45,en,"mission make christmas unforgettable quill, guardians head earth search perfect present ",528.54,The Guardians of the Galaxy Holiday Special,7.4,931,2022,Adventure,Comedy,ScienceFiction,,,,,
51,51,20000000,https://www.jeeperscreepersreborn.com/,717728,tt14121726,2892594,88,en,"forced travel boyfriend horror festival, laine begins experience disturbing visions associated urban legend creeper  festival arrives blood soaked entertainment builds frenzy, becomes center something unearthly summoned ",505.636,Jeepers Creepers: Reborn,5.8,550,2022,Horror,Mystery,Thriller,,,,,
52,52,200000000,https://www.spidermannowayhome.movie,634649,tt10872600,1916306995,148,en,"peter parker unmasked longer able separate normal life high stakes super hero  asks help doctor strange stakes become even dangerous, forcing discover truly means spider man ",500.71,Spider-Man: No Way Home,8.0,16209,2021,Action,Adventure,ScienceFiction,,,,,
53,53,20000000,,829799,tt14656632,0,93,en,renegade bounty hunter ryan swan must carve way hawaiian crime world wreak vengeance kingpin murdered father ,491.341,Paradise City,5.8,49,2022,Action,Crime,Thriller,,,,,
54,54,0,https://www.netflix.com/title/81260280,49046,tt1016150,0,147,de,"paul baumer friends albert muller, egged romantic dreams heroism, voluntarily enlist german army  full excitement patriotic fervour, boys enthusiastically march war believe in  western front, discover soul destroying horror world war i ",482.127,All Quiet on the Western Front,7.8,1229,2022,Action,Drama,War,,,,,
57,57,0,,721187,,0,0,ko,"focusing relationship men women beauty salon, dae hye, director korean erotic film beauty salon, becomes difficult sell depression  building owner’s rent pressure also comes in, employee juhee suggests dae hye bikini service, saying bikini beauty salon hit jackpot foreign country  surprisingly, bikini service jackpot guests increasingly looking powerful service ",468.083,Beauty Salon: Special Services 4,3.8,5,2020,Romance,,,,,,,
58,58,0,,982620,tt15262370,0,86,en,group friends vacation seeming island paradise stalked unrelenting great white accident leaves stranded left dead ,461.883,Maneater,4.8,24,2022,Horror,Thriller,,,,,,
59,59,0,https://www.m3ganmovie.com,536554,tt8760708,0,102,en,"brilliant toy company roboticist uses artificial intelligence develop m3gan, life like doll programmed emotionally bond newly orphaned niece  doll's programming works well, becomes overprotective new friend terrifying results ",457.286,M3GAN,6.1,14,2022,Horror,ScienceFiction,Thriller,,,,,
60,60,165000000,https://www.jurassicworld.com,507086,tt8041270,1001000000,147,en,"four years destruction isla nublar, biosyn operatives attempt track maisie lockwood, dr ellie sattler investigates genetically engineered swarm giant insects ",447.625,Jurassic World Dominion,7.0,4078,2022,Action,Adventure,ScienceFiction,,,,,
61,61,250000000,https://www.marvel.com/movies/thor-love-and-thunder,616037,tt10648342,760928081,119,en,"retirement interrupted gorr god butcher, galactic killer seeks extinction gods, thor odinson enlists help king valkyrie, korg, ex girlfriend jane foster, wields mjolnir mighty thor  together embark upon harrowing cosmic adventure uncover mystery god butcher’s vengeance stop it’s late ",440.274,Thor: Love and Thunder,6.7,5034,2022,Action,Comedy,Fantasy,,,,,
62,62,0,,760204,tt13468602,0,93,en,"royal air force pilot lt  kate sinclair final flight mission jet shot one dangerous rebel strongholds afghanistan  finds refuge abandoned underground bunker deadly man made creatures known ravagers   half human, half alien, hungry human flesh   awakened ",428.302,The Lair,6.0,45,2022,Action,Horror,,,,,,
63,63,0,,732459,tt12610794,0,106,en,"sequel  47 ronin,  new class warriors emerges among samurai clans keep sought after sword falling wrong hands ",427.316,Blade of the 47 Ronin,6.8,97,2022,Action,Fantasy,,,,,,
64,64,0,https://www.netflix.com/title/81509213,948276,tt14465706,0,98,fr,"cleared name, genius mechanic lino one goal mind  getting revenge corrupt cops killed brother mentor ",425.797,Lost Bullet 2,6.6,187,2022,Action,Drama,Thriller,,,,,
65,65,0,http://www.infromthesidemovie.com,622082,tt7947604,0,134,en,two men gay men's rugby club must conceal adulterous affair unwittingly fall leads collapse delicate social political fabric club ,419.642,In from the Side,6.5,11,2022,Drama,Romance,,,,,,
66,66,65000000,https://www.20thcenturystudios.com/movies/prey,766507,tt11866324,0,100,en,"danger threatens camp, fierce highly skilled comanche warrior naru sets protect people  prey stalks turns highly evolved alien predator technically advanced arsenal ",418.752,Prey,7.8,4851,2022,Action,ScienceFiction,Thriller,,,,,
68,68,0,https://www.emilythecriminal.com/,862965,tt15255876,0,97,en,"emily, saddled student debt locked job market due minor criminal record, gets involved credit card scam pulls criminal underworld los angeles, ultimately leading deadly consequences ",403.672,Emily the Criminal,6.9,306,2022,Crime,Drama,Thriller,,,,,
69,69,14000000,https://www.hulu.com/movie/hellraiser-eb138082-5c40-4a8f-aa30-3fc66ef615fd,338947,tt0887261,0,121,en,"young woman struggling addiction comes possession ancient puzzle box, unaware purpose summon cenobites, group sadistic supernatural beings another dimension ",395.709,Hellraiser,6.5,384,2022,Horror,Mystery,,,,,,
