,budget,homepage,id,imdb_id,revenue,runtime,language,description,popularity,title,rating,votes,year,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8
0,460000000,https://www.avatar.com/movies/avatar-the-way-of-water,76600,tt1630029,1028775785,192,en,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",7517.281,Avatar: The Way of Water,7.8,2512,2022,Action,Adventure,ScienceFiction,,,,,
1,20000000,https://www.violentnightmovie.com,899112,tt12003946,55173750,112,en,"When a team of mercenaries breaks into a wealthy family compound on Christmas Eve, taking everyone inside hostage, the team isn’t prepared for a surprise combatant: Santa Claus is on the grounds, and he’s about to show why this Nick is no saint.",5355.272,Violent Night,7.7,590,2022,Action,Comedy,Crime,Thriller,,,,
2,180000000,,411,tt0363771,745013115,143,en,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",4914.832,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",7.1,9050,2005,Adventure,Family,Fantasy,,,,,
3,237000000,https://www.avatar.com/movies/avatar,19995,tt0499549,2920357254,162,en,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",3277.907,Avatar,7.6,27323,2009,Action,Adventure,Fantasy,ScienceFiction,,,,
4,0,https://www.netflix.com/title/81245455/,736526,tt11116912,0,104,no,"Deep inside the mountain of Dovre, something gigantic awakens after being trapped for a thousand years. Destroying everything in its path, the creature is fast approaching the capital of Norway. But how do you stop something you thought only existed in Norwegian folklore?",3196.809,Troll,6.7,855,2022,Action,Adventure,Fantasy,,,,,
5,200000000,https://www.dc.com/BlackAdam,436270,tt6443346,389000000,125,en,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",3158.563,Black Adam,7.2,3353,2022,Action,Fantasy,ScienceFiction,,,,,
6,0,https://theavenue.film/movies/savage-salvation,740952,tt13055982,0,101,en,"Newly engaged Shelby John and Ruby Red want a fresh start after their struggles with addiction, but when Shelby discovers his beloved Ruby dead on their porch, he embarks on a vengeful killing spree of the dealers who supplied her. Armed with nothing but adrenaline and a nail gun, Shelby begins to unleash chaos on the town’s criminal underbelly, as he hunt’s down crime lord Coyote. Sheriff Church must race against the clock to put an end to Shelby's vigilante justice before the entire town descends into a bloodbath.",2252.41,Savage Salvation,5.3,12,2022,Action,Crime,Drama,Thriller,,,,
7,0,https://www.preyforthedevil.movie/,676547,tt9271672,37655699,93,en,"In response to a global rise in demonic possessions, the Catholic Church reopens exorcism schools to train priests in the Rite of Exorcism. On this spiritual battlefield, an unlikely warrior rises: a young nun, Sister Ann. Thrust onto the spiritual frontline with fellow student Father Dante, Sister Ann finds herself in a battle for the soul of a young girl and soon realizes the Devil has her right where he wants her.",2190.57,Prey for the Devil,7.0,231,2022,Horror,Thriller,,,,,,
8,50000000,https://www.thewomanking.movie/,724495,tt8093700,91000000,135,en,"The story of the Agojie, the all-female unit of warriors who protected the African Kingdom of Dahomey in the 1800s with skills and a fierceness unlike anything the world has ever seen, and General Nanisca as she trains the next generation of recruits and readies them for battle against an enemy determined to destroy their way of life.",2141.73,The Woman King,7.8,881,2022,Action,Drama,History,,,,,
9,0,https://www.netflix.com/title/81344253,683328,tt15528292,0,141,id,A by-the-book female detective teams up with four down-on-their-luck assassins to investigate her father's murder.,2011.834,The Big 4,6.8,54,2022,Action,Comedy,Crime,,,,,
